Date,Open,High,Low,Close,Adj Close,Volume
2023-04-11,39.299999,40.130001,39.250000,39.939999,37.535336,13342900
2023-04-12,40.060001,43.250000,40.009998,42.720001,40.147964,63971600
2023-04-13,42.639999,43.389999,42.400002,42.700001,40.129169,18396800
2023-04-14,42.619999,43.490002,42.150002,43.430000,40.815216,21129000
2023-04-17,43.369999,43.750000,43.020000,43.529999,40.909199,12049000
2023-04-18,43.549999,43.669998,43.029999,43.610001,40.984383,8675300
2023-04-19,43.389999,43.520000,42.840000,43.099998,40.505085,10504800
2023-04-20,42.980000,43.599998,42.709999,43.509998,40.890400,10363100
2023-04-24,43.419998,44.040001,43.049999,43.419998,40.805817,10259800
2023-04-25,43.000000,43.330002,42.730000,43.020000,40.429901,11845600
2023-04-26,43.259998,43.259998,42.520000,42.669998,40.100971,11816500
2023-04-27,42.669998,43.200001,42.520000,42.720001,40.147964,6186400
2023-04-28,43.009998,43.299999,42.349998,42.860001,40.279537,10398000
2023-05-02,42.759998,42.759998,41.720001,41.840000,39.320946,12619600
2023-05-03,42.060001,42.119999,41.560001,41.709999,39.198769,5630900
2023-05-04,42.000000,42.450001,41.540001,42.180000,39.640476,7376000
2023-05-05,42.189999,43.310001,42.189999,43.250000,40.646053,7191100
2023-05-08,43.439999,43.779999,42.959999,43.080002,40.486294,8097600
2023-05-09,42.990002,43.410000,42.669998,42.950001,40.364120,10115800
2023-05-10,43.000000,43.599998,42.599998,43.509998,40.890400,10522200
2023-05-11,43.419998,44.619999,43.070000,44.400002,41.726818,13579900
2023-05-12,44.049999,44.689999,43.900002,44.230000,41.567059,12208700
2023-05-15,44.490002,44.849998,44.029999,44.439999,41.764404,8632500
2023-05-16,44.439999,44.740002,42.930000,43.160000,40.561470,21607700
2023-05-17,43.250000,43.849998,42.930000,43.230000,40.627258,17523100
2023-05-18,43.099998,43.320000,42.799999,43.200001,40.599068,11712000
2023-05-19,43.340000,44.119999,42.990002,44.040001,41.388493,33966000
2023-05-22,44.049999,44.610001,43.439999,43.459999,40.843410,8075400
2023-05-23,43.480000,44.630001,43.340000,44.480000,41.801998,12911200
2023-05-24,44.480000,44.980000,44.160000,44.610001,41.924175,10921400
2023-05-25,45.000000,45.400002,44.660000,44.660000,41.971165,11695400
2023-05-26,45.250000,45.320000,44.150002,44.400002,41.726818,9590300
2023-05-29,44.560001,44.560001,44.009998,44.320000,41.651634,3307900
2023-05-30,44.799999,44.860001,44.209999,44.700001,42.008755,18427000
2023-05-31,44.740002,45.139999,44.520000,44.619999,41.933571,17425400
2023-06-01,44.790001,45.029999,44.259998,44.740002,42.046349,10196900
2023-06-02,44.740002,44.740002,44.740002,44.740002,42.670494,0
2023-06-05,44.599998,45.290001,44.150002,45.020000,42.937542,13667000
2023-06-06,45.029999,46.160000,44.959999,45.540001,43.433495,11466100
2023-06-07,45.730000,45.889999,45.520000,45.520000,43.414417,11111000
2023-06-09,45.740002,47.740002,45.740002,47.740002,45.531727,18466100
2023-06-12,48.070000,49.740002,47.970001,49.470001,47.181702,38557800
2023-06-13,49.180000,49.490002,48.389999,48.619999,46.690624,13266100
2023-06-14,48.799999,49.000000,48.099998,48.860001,46.921104,13041900
2023-06-15,48.900002,50.240002,48.700001,49.860001,47.881416,20965400
2023-06-16,49.840000,49.910000,49.250000,49.490002,47.526104,15196900
2023-06-19,49.570000,50.470001,49.520000,50.410000,48.409595,5893600
2023-06-20,50.290001,50.459999,49.950001,50.400002,48.399994,8570500
2023-06-21,50.200001,51.990002,50.139999,51.990002,49.926899,13706500
2023-06-22,51.639999,51.860001,50.660000,51.000000,48.976185,9000400
2023-06-23,51.110001,51.139999,50.560001,51.020000,48.995392,6741900
2023-06-26,50.740002,51.389999,50.450001,51.139999,49.110626,8424200
2023-06-27,51.169998,51.480000,49.869999,50.200001,48.207928,12889500
2023-06-28,50.110001,50.200001,49.230000,49.590000,47.622131,7762100
2023-06-29,49.560001,50.200001,49.220001,50.049999,48.063881,8282600
2023-06-30,50.400002,50.799999,48.930000,49.400002,47.439674,14004500
2023-07-03,49.560001,50.500000,49.520000,50.389999,48.390381,13015600
2023-07-04,50.389999,50.450001,49.830002,50.070000,48.083080,3786400
2023-07-05,50.000000,50.009998,49.400002,49.740002,47.766182,5666200
2023-07-06,49.529999,49.580002,48.639999,49.009998,47.065147,9558000
2023-07-07,49.040001,50.320000,49.040001,49.959999,47.977451,11539600
2023-07-10,49.990002,50.049999,48.790001,49.040001,47.093960,8903000
2023-07-11,49.000000,49.020000,47.880001,48.340000,46.421734,12336800
2023-07-12,48.939999,48.939999,47.360001,47.560001,45.672691,12229100
2023-07-13,47.860001,48.380001,47.590000,48.009998,46.104828,7034200
2023-07-14,47.959999,48.709999,47.410000,47.689999,45.797531,13105800
2023-07-17,47.799999,48.189999,47.459999,48.110001,46.200863,5387000
2023-07-18,48.099998,48.450001,47.840000,48.270000,46.354519,4530300
2023-07-19,48.400002,48.400002,47.320000,47.430000,45.547848,8105400
2023-07-20,47.560001,48.049999,47.400002,47.950001,46.047218,6753800
2023-07-21,47.950001,48.849998,47.950001,48.520000,46.594593,10132200
2023-07-24,48.240002,48.849998,47.180000,47.570000,45.682293,17870500
2023-07-25,48.259998,48.259998,47.299999,47.320000,45.442211,10766700
2023-07-26,47.410000,47.799999,47.070000,47.720001,45.826340,12383500
2023-07-27,47.720001,47.759998,46.650002,46.740002,44.885235,11750700
2023-07-28,47.130001,47.570000,46.860001,47.279999,45.403801,7276100
